chNFe,cnpj_emit,nNFe,cProd,cEAN,cBarra,xProd,NCM,CEST,indEscala,CFOP,uCom,qCom,vUnCom,vProd,cEANTrib,cBarraTrib,uTrib,qTrib,vUnTrib,indTot,xPed,nItemPed,nLote,qLote,dFab,dVal,cAgreg
35230701402063000137550020000760301012427051,01402063000137,76030,518,6934766408579,518,"HB 518 LAPIS DE SOBRANCELHAS FEELS MOOD RUBY ROSE",33042010,2001000,S,5403,DZ,240,10.62,2548.8,6934766408579,518,DZ,240,10.62,1,5724501,1,1312801,240,"2023-03-01 00:00:00","2027-12-12 00:00:00",6631605
35230701402063000137550020000760301012427051,01402063000137,76030,521,6934766408609,521,"HB 521 LAPIS DE SOBRANCELHAS FEELS MOOD RUBY ROSE",33042010,2001000,S,5403,DZ,240,7.8,1872,6934766408609,521,DZ,240,7.8,1,5724501,2,1312804,240,"2023-03-03 00:00:00","2027-12-12 00:00:00",6631705
35230701402063000137550020000760301012427051,01402063000137,76030,RR-2401,6934766408630,RR-2401,"RR-2401 LAPIS DE SOBRANCELHAS MELU RUBY ROSE",33042010,2001000,S,5403,DZ,240,7.8,1872,6934766408630,RR-2401,DZ,240,7.8,1,5724501,3,1312807,240,"2023-03-06 00:00:00","2027-12-12 00:00:00",6631805
35230701402063000137550020000760301012427051,01402063000137,76030,9357,6932159605949,9357,"HB 9357 SOMBRAS PARA SOBRANCELHA RUBY ROSE",33042010,2001000,S,5403,DZ,240,12.99,3117.6,6932159605949,9357,DZ,240,12.99,1,5724501,4,23J0031-1,240,"2023-01-09 00:00:00","2028-01-08 00:00:00",6631905
35230701402063000137550020000760331012432057,01402063000137,76033,518,6934766408579,518,"HB 518 LAPIS DE SOBRANCELHAS FEELS MOOD RUBY ROSE",33042010,2001000,S,6102,DZ,48,10.01,480.48,6934766408579,518,DZ,48,10.01,1,5678801,1,1312801,48,"2023-03-01 00:00:00","2027-12-12 00:00:00",6633905
35230701402063000137550020000760331012432057,01402063000137,76033,519,6934766408586,519,"HB 519 DELINEADOR PRETO FEELS MOOD RUBY ROSE",33042010,2001000,S,6102,DZ,48,15.35,736.8,6934766408586,519,DZ,48,15.35,1,5678801,2,1312802,48,"2023-03-05 00:00:00","2027-12-12 00:00:00",6634005
35230701402063000137550020000760331012432057,01402063000137,76033,521,6934766408609,521,"HB 521 LAPIS DE SOBRANCELHAS FEELS MOOD RUBY ROSE",33042010,2001000,S,6102,DZ,48,7.35,352.8,6934766408609,521,DZ,48,7.35,1,5678801,3,1312804,48,"2023-03-03 00:00:00","2027-12-12 00:00:00",6634105
35230701402063000137550020000760331012432057,01402063000137,76033,7232-1,6932159603600,7232-1,"HB 7232-1 PO COMPACTO FEEL MOOD RUBY ROSE",33049100,2001300,S,6102,DZ,24,10.59,254.16,6932159603600,7232-1,DZ,24,10.59,1,5678801,4,22J0179,24,"2022-10-12 00:00:00","2027-10-11 00:00:00",6634205
35230701402063000137550020000760331012432057,01402063000137,76033,7232-2,6932159603679,7232-2,"HB 7232-2 PO COMPACTO FEEL MOOD RUBY ROSE",33049100,2001300,S,6102,DZ,24,10.59,254.16,6932159603679,7232-2,DZ,24,10.59,1,5678801,5,23J0044,24,"2023-02-27 00:00:00","2028-02-26 00:00:00",6634305
35230701402063000137550020000760331012432057,01402063000137,76033,7524,6932159604027,7524,"HB 7524 MAKE UP KIT RUBY ROSE",33049990,2001500,S,6102,DZ,18,40.32,725.76,6932159604027,7524,DZ,18,40.32,1,5678801,6,23J0045,18,"2023-02-27 00:00:00","2028-02-26 00:00:00",6634405
35230701402063000137550020000760331012432057,01402063000137,76033,8519,6932159605222,8519,"HB 8519 TINTED BALM FEELS MOOD RUBY ROSE",33041000,2000900,S,6102,DZ,36,11.07,398.52,6932159605222,8519,DZ,36,11.07,1,5678801,7,23J0048,36,"2023-01-31 00:00:00","2028-01-30 00:00:00",6634505
35230701402063000137550020000760331012432057,01402063000137,76033,520,6934766408593,520,"HB 520 LAPIS DE OLHOS STAY FIX RUBY ROSE",33042010,2001000,S,6102,DZ,48,8.53,409.44,6934766408593,520,DZ,48,8.53,1,5678801,8,1312803,48,"2023-03-10 00:00:00","2027-12-12 00:00:00",6634605
35230701402063000137550020000760331012432057,01402063000137,76033,7206-14,6932159606007,7206-14,"HB 7206-14 PO FACIAL RUBY ROSE",33049100,2001300,S,6102,DZ,24,9.59,230.16,6932159606007,7206-14,DZ,24,9.59,1,5678801,9,23J0007,24,"2023-01-09 00:00:00","2028-01-08 00:00:00",6634705
35230701402063000137550020000760341012433050,01402063000137,76034,8055-1,6932159606151,8055-1,"HB 8055-1 BASE LIQUIDA MELU RUBY ROSE",33049990,2001500,S,6102,DZ,36,24.76,891.36,6932159606151,8055-1,DZ,36,24.76,1,5680001,1,22J0129,36,"2022-07-29 00:00:00","2027-07-28 00:00:00",6634805
35230701402063000137550020000760341012433050,01402063000137,76034,RR-2400,6934766408623,RR-2400,"RR-2400 LAPIS DE OLHOS MELU RUBY ROSE",33042010,2001000,S,6102,DZ,48,8.53,409.44,6934766408623,RR-2400,DZ,48,8.53,1,5680001,2,1312806,48,"2023-03-07 00:00:00","2027-12-12 00:00:00",6634905
35230701402063000137550020000760341012433050,01402063000137,76034,RR-2401,6934766408630,RR-2401,"RR-2401 LAPIS DE SOBRANCELHAS MELU RUBY ROSE",33042010,2001000,S,6102,DZ,48,7.35,352.8,6934766408630,RR-2401,DZ,48,7.35,1,5680001,3,1312807,48,"2023-03-06 00:00:00","2027-12-12 00:00:00",6635005
35230701402063000137550020000760341012433050,01402063000137,76034,RR-2402,6934766408647,RR-2402,"RR-2402 LAPIS DE SOBRANCELHAS MELU RUBY ROSE",33042010,2001000,S,6102,DZ,48,19.38,930.24,6934766408647,RR-2402,DZ,48,19.38,1,5680001,4,1312808,48,"2023-03-05 00:00:00","2027-12-12 00:00:00",6635105
35230701402063000137550020000760341012433050,01402063000137,76034,RR-2403,6934766408654,RR-2403,"RR-2403 LAPIS DE SOBRANCELHAS MELU RUBY ROSE",33042010,2001000,S,6102,DZ,48,7.35,352.8,6934766408654,RR-2403,DZ,48,7.35,1,5680001,5,1312809,48,"2023-03-07 00:00:00","2027-12-12 00:00:00",6635205
