id,ide_cUF,ide_cNF,ide_natOp,ide_mod,ide_serie,ide_nNF,ide_dhEmi,ide_tpNF,ide_idDest,ide_cMunFG,ide_tpImp,ide_tpEmis,ide_cDV,ide_tpAmb,ide_finNFe,ide_indFinal,ide_indPres,ide_procEmi,ide_verProc,emit_CNPJ,emit_xNome,emit_xFant,emit_xLgr,emit_nro,emit_xBairro,emit_cMun,emit_xMun,emit_xCpl,emit_UF,emit_CEP,emit_cPais,emit_xPais,emit_fone,emit_IE,emit_CRT,dest_CNPJ,dest_xNome,dest_xLgr,dest_nro,dest_xCpl,dest_xBairro,dest_cMun,dest_xMun,dest_UF,dest_CEP,dest_cPais,dest_xPais,dest_fone,dest_indEDest,dest_IE,dest_email,det_nItem,total_ICMSTot_vBC,total_ICMSTot_vICMS,total_ICMSTot_vICMSDeson,total_ICMSTot_vFCP,total_ICMSTot_vBCST,total_ICMSTot_vST,total_ICMSTot_vFCPST,total_ICMSTot_vFCPSTRet,total_ICMSTot_vProd,total_ICMSTot_vFrete,total_ICMSTot_vSeg,total_ICMSTot_vDesc,total_ICMSTot_vII,total_ICMSTot_vIPI,total_ICMSTot_vIPIDevol,total_ICMSTot_vPIS,total_ICMSTot_vCOFINS,total_ICMSTot_vOutro,total_ICMSTot_vNF,transp_modFrete,transp_CNPJ,transp_xNome,transp_xEnder,transp_xMun,transp_UF,transp_qVol,transp_esp,transp_marca,transp_pesoL,transp_pesoB,pag_indPag,pag_tPag,pag_xPag,pag_vPag,infAdic_infCpl
1,35,01425605,VENDA,55,2,76697,"2023-08-31 10:27:58",1,2,3550308,1,1,5,1,1,0,9,0,Futur3_2023.5.29.37,01402063000137,"NELIDA DO BRASIL COM. E IMP. LTDA","NELIDA DO BRASIL COM. E IMP. LTDA","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO",,SP,03006030,1058,BRASIL,1132294990,114971928114,3,47454698000260,"SELECT LTDA","TV WE 47",342,"CONJ CIDADE NOVA 4","CIDADE NOVA",1500800,ANANINDEUA,PA,67133300,1058,BRASIL,9991368939,1,158774582,oscarmateusjr@hotmail.com,NULL,15645.12,625.79,0.00,0.00,0.00,0.00,0.00,0.00,15645.12,0.00,0.00,0.00,0.00,2062.40,0.00,312.23,1461.30,0.00,17707.52,1,29302477000375,"JOLEEMIX TRANSPORTADORA LTDA","R MINEIROS 148 ******** CID. IND. SATELITE DE SAO PAULO",GUARULHOS,SP,39,CAIXAS,"RUBY ROSE",334.85,414.38,99,99.00,"Outro Pagamento",17707.52,"Nota Fiscal referente ao(s) Pedido(s) 179705"
2,35,01425705,VENDA,55,2,76698,"2023-08-31 10:29:25",1,2,3550308,1,1,9,1,1,0,9,0,Futur3_2023.5.29.37,01402063000137,"NELIDA DO BRASIL COM. E IMP. LTDA","NELIDA DO BRASIL COM. E IMP. LTDA","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO",,SP,03006030,1058,BRASIL,1132294990,114971928114,3,47454698000260,"SELECT LTDA","TV WE 47",342,"CONJ CIDADE NOVA 4","CIDADE NOVA",1500800,ANANINDEUA,PA,67133300,1058,BRASIL,9991368939,1,158774582,oscarmateusjr@hotmail.com,NULL,10967.52,438.70,0.00,0.00,0.00,0.00,0.00,0.00,10967.52,0.00,0.00,0.00,0.00,1568.35,0.00,231.63,1084.46,0.00,12535.87,1,29302477000375,"JOLEEMIX TRANSPORTADORA LTDA","R MINEIROS 148 ******** CID. IND. SATELITE DE SAO PAULO",GUARULHOS,SP,38,CAIXAS,"RUBY ROSE",317.09,365.71,99,99.00,"Outro Pagamento",12535.87,"Nota Fiscal referente ao(s) Pedido(s) 180905"
3,35,01425805,VENDA,55,1,32563,"2023-08-31 10:30:14",1,2,3550308,1,1,0,1,1,0,9,0,Futur3_2023.5.29.37,07243175000179,"BIO-SINERGIA COSMETICOS E PRODUTOS DE HIGIENE PESSOAL LTDA.","BIO-SINERGIA COSMETICOS E PRODUTOS DE HIGIENE PESSOAL LTDA.","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO","GALPAO 09",SP,03006030,1058,BRASIL,1132270120,117015708110,3,47454698000260,"SELECT LTDA","TV WE 47",342,"CONJ CIDADE NOVA 4","CIDADE NOVA",1500800,ANANINDEUA,PA,67133300,1058,BRASIL,9991368939,1,158774582,oscarmateusjr@hotmail.com,NULL,716.40,28.66,0.00,0.00,0.00,0.00,0.00,0.00,716.40,0.00,0.00,0.00,0.00,23.28,0.00,4.47,20.63,0.00,739.68,1,29302477000375,"JOLEEMIX TRANSPORTADORA LTDA","R MINEIROS 148 ******** CID. IND. SATELITE DE SAO PAULO",GUARULHOS,SP,5,CAIXAS,"RUBY ROSE",85.00,90.00,99,99.00,"Outro Pagamento",739.68,"Nota Fiscal referente ao(s) Pedido(s) 180505"
4,35,01426005,VENDA,55,2,76699,"2023-08-31 10:32:01",1,2,3550308,1,1,7,1,1,0,9,0,Futur3_2023.5.29.37,01402063000137,"NELIDA DO BRASIL COM. E IMP. LTDA","NELIDA DO BRASIL COM. E IMP. LTDA","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO",,SP,03006030,1058,BRASIL,1132294990,114971928114,3,33108864000180,"TBV COSMETICOS LTDA","PC SENHOR DO BONFIM",136,,CENTRO,2902906,"BARRA DO CHOCA",BA,45120000,1058,BRASIL,7721014900,1,156581923,tbvcosmeticos@gmail.com,NULL,5312.16,212.49,0.00,0.00,0.00,0.00,0.00,0.00,5312.16,0.00,0.00,0.00,0.00,759.64,0.00,112.19,525.26,0.00,6071.80,1,40582397000272,"TRANSPORTADORA CENTRAL LTDA","R PASCHOAL ZIMBARDI 301 CIDADE INDUSTRIAL SA",GUARULHOS,SP,12,CAIXAS,"RUBY ROSE",158.54,187.20,99,99.00,"Outro Pagamento",6071.80,"Nota Fiscal referente ao(s) Pedido(s) 179505"
5,35,01425905,VENDA,55,1,32564,"2023-08-31 10:31:07",1,2,3550308,1,1,4,1,1,0,9,0,Futur3_2023.5.29.37,07243175000179,"BIO-SINERGIA COSMETICOS E PRODUTOS DE HIGIENE PESSOAL LTDA.","BIO-SINERGIA COSMETICOS E PRODUTOS DE HIGIENE PESSOAL LTDA.","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO","GALPAO 09",SP,03006030,1058,BRASIL,1132270120,117015708110,3,47454698000260,"SELECT LTDA","TV WE 47",342,"CONJ CIDADE NOVA 4","CIDADE NOVA",1500800,ANANINDEUA,PA,67133300,1058,BRASIL,9991368939,1,158774582,oscarmateusjr@hotmail.com,NULL,1719.36,68.77,0.00,0.00,0.00,0.00,0.00,0.00,1719.36,0.00,0.00,0.00,0.00,55.88,0.00,10.73,49.52,0.00,1775.24,1,29302477000375,"JOLEEMIX TRANSPORTADORA LTDA","R MINEIROS 148 ******** CID. IND. SATELITE DE SAO PAULO",GUARULHOS,SP,12,CAIXAS,"RUBY ROSE",202.85,214.85,99,99.00,"Outro Pagamento",1775.24,"Nota Fiscal referente ao(s) Pedido(s) 181305"
6,35,01426205,VENDA,55,2,76700,"2023-08-31 10:33:07",1,2,3550308,1,1,2,1,1,0,9,0,Futur3_2023.5.29.37,01402063000137,"NELIDA DO BRASIL COM. E IMP. LTDA","NELIDA DO BRASIL COM. E IMP. LTDA","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO",,SP,03006030,1058,BRASIL,1132294990,114971928114,3,33108864000180,"TBV COSMETICOS LTDA","PC SENHOR DO BONFIM",136,,CENTRO,2902906,"BARRA DO CHOCA",BA,45120000,1058,BRASIL,7721014900,1,156581923,tbvcosmeticos@gmail.com,NULL,4638.60,185.54,0.00,0.00,0.00,0.00,0.00,0.00,4638.60,0.00,0.00,0.00,0.00,663.32,0.00,97.97,458.66,0.00,5301.92,1,40582397000272,"TRANSPORTADORA CENTRAL LTDA","R PASCHOAL ZIMBARDI 301 CIDADE INDUSTRIAL SA",GUARULHOS,SP,15,CAIXAS,"RUBY ROSE",76.14,107.46,99,99.00,"Outro Pagamento",5301.92,"Nota Fiscal referente ao(s) Pedido(s) 180005"
7,35,01426105,VENDA,55,1,14979,"2023-08-31 10:32:47",1,2,3550308,1,1,0,1,1,0,9,0,Futur3_2023.5.29.65,31388753000140,"FABULOUS COSMETICOS LTDA","FABULOUS COSMETICOS","RUA R S QUIRINO",260,"VILA GUILHERME",3550308,"SAO PAULO","CONJ 2",SP,02056070,1058,BRASIL,1134730717,119913670116,3,47454698000260,"SELECT LTDA","TV WE 47",342,"CONJ CIDADE NOVA 4","CIDADE NOVA",1500800,ANANINDEUA,PA,67133300,1058,BRASIL,9991368939,1,158774582,oscarmateusjr@hotmail.com,NULL,4590.80,321.36,0.00,0.00,0.00,0.00,0.00,0.00,4590.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4590.80,1,29302477000375,"JOLEEMIX TRANSPORTADORA LTDA","R MINEIROS 148 ******** CID. IND. SATELITE DE SAO PAULO",GUARULHOS,SP,25,CAIXAS,"RUBY ROSE",150.20,218.60,99,99.00,"Outro Pagamento",4590.80,"PIS e COFINS recolhidos com aliquotas 0% Conforme Lei n 10.147/2000, artigo 2 .;; Nota Fiscal referente ao(s) Pedido(s) 180605"
8,35,01426305,VENDA,55,1,14980,"2023-08-31 10:34:06",1,2,3550308,1,1,3,1,1,0,9,0,Futur3_2023.5.29.65,31388753000140,"FABULOUS COSMETICOS LTDA","FABULOUS COSMETICOS","RUA R S QUIRINO",260,"VILA GUILHERME",3550308,"SAO PAULO","CONJ 2",SP,02056070,1058,BRASIL,1134730717,119913670116,3,47454698000260,"SELECT LTDA","TV WE 47",342,"CONJ CIDADE NOVA 4","CIDADE NOVA",1500800,ANANINDEUA,PA,67133300,1058,BRASIL,9991368939,1,158774582,oscarmateusjr@hotmail.com,NULL,31589.92,1766.43,0.00,0.00,0.00,0.00,0.00,0.00,31589.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31589.92,1,29302477000375,"JOLEEMIX TRANSPORTADORA LTDA","R MINEIROS 148 ******** CID. IND. SATELITE DE SAO PAULO",GUARULHOS,SP,63,CAIXAS,"RUBY ROSE",372.38,657.90,99,99.00,"Outro Pagamento",31589.92,"PIS e COFINS recolhidos com aliquotas 0% Conforme Lei n 10.147/2000, artigo 2 .;; Conf. Ajuste Sinief 07/05, clausula 18; Total Bc ICMS 4% R$ 14828,76 , vl. ICMS R$ 593,15; Total Bc ICMS 7% R$ 16761,16 , vl. ICMS R$ 1173,28; Nota Fiscal referente ao(s) Pedido(s) 181605"
9,35,01426405,VENDA,55,2,76701,"2023-08-31 10:34:13",1,2,3550308,1,1,2,1,1,0,9,0,Futur3_2023.5.29.37,01402063000137,"NELIDA DO BRASIL COM. E IMP. LTDA","NELIDA DO BRASIL COM. E IMP. LTDA","RUA DA ALFANDEGA",200,BRAS,3550308,"SAO PAULO",,SP,03006030,1058,BRASIL,1132294990,114971928114,3,38309105000108,"GREEN MAKE DISTRIBUIDORA DE COSMETICOS LTDA","R ABATIA",162,********,VARZEA,2611606,RECIFE,PE,50740330,1058,BRASIL,8199927973,1,090798317,rubyrose.pe@outlook.com,NULL,1006.92,40.28,0.00,0.00,0.00,0.00,0.00,0.00,1006.92,0.00,0.00,0.00,0.00,143.99,0.00,21.27,99.56,0.00,1150.91,1,10973773000108,"RAPIDO FIGUEIREDO LOGISTICA E TRANSPORTES EIRELI","RUA OURO VERDE DE GOIAS 1233 CID. IND. SATELITE DE SP",GUARULHOS,SP,2,CAIXAS,"RUBY ROSE",11.09,16.27,99,99.00,"Outro Pagamento",1150.91,"Nota Fiscal referente ao(s) Pedido(s) 182905"
10,35,01426605,VENDA,55,1,14981,"2023-08-31 10:35:30",1,2,3550308,1,1,0,1,1,0,9,0,Futur3_2023.5.29.65,31388753000140,"FABULOUS COSMETICOS LTDA","FABULOUS COSMETICOS","RUA R S QUIRINO",260,"VILA GUILHERME",3550308,"SAO PAULO","CONJ 2",SP,02056070,1058,BRASIL,1134730717,119913670116,3,33108864000180,"TBV COSMETICOS LTDA","PC SENHOR DO BONFIM",136,,CENTRO,2902906,"BARRA DO CHOCA",BA,45120000,1058,BRASIL,7721014900,1,156581923,tbvcosmeticos@gmail.com,NULL,3151.08,220.58,0.00,0.00,0.00,0.00,0.00,0.00,3151.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3151.08,1,40582397000272,"TRANSPORTADORA CENTRAL LTDA","R PASCHOAL ZIMBARDI 301 CIDADE INDUSTRIAL SA",GUARULHOS,SP,4,CAIXAS,"RUBY ROSE",80.60,83.84,99,99.00,"Outro Pagamento",3151.08,"PIS e COFINS recolhidos com aliquotas 0% Conforme Lei n 10.147/2000, artigo 2 .;; Nota Fiscal referente ao(s) Pedido(s) 179805"
